Configuration2,316.2834
Crates,277.8799,4
Money,259.3187,2
Routes,291.6936,1
Government,249.2445,6
Park,71.74462,4
Flood,209.2176,4
Religion,228.2438,4
Traffic,88.84625,3
Table1 Marker,14.03732,1.523878,-0.4373524
Table2 Marker,316.2834,2,0.5

Configuration3,201.2931
Crates,181.9191,2
Money,163.182,1
Routes,95.31119,4
Government,174.7355,5
Park,54.46069,3
Flood,86.84003,7
Religion,113.484,1
Traffic,24.48709,4
Table1 Marker,8.86264,2.012129,0.08236694
Table2 Marker,517.5765,2,0.5

Configuration0,161.1448
Crates,111.0966,1
Money,109.8462,1
Routes,108.5343,1
Government,112.8589,1
Park,1.362854,1
Flood,7.698364,3
Religion,116.3966,1
Traffic,114.5441,2
Table1 Marker,678.7213,2,0.5
Table2 Marker,150.5204,2.118182,0.1382985

Configuration1,144.4919
Crates,131.5284,1
Money,127.2669,1
Routes,4.463074,2
Government,123.9919,1
Park,129.1661,1
Flood,33.78497,3
Religion,122.105,1
Traffic,123.5425,1
Table1 Marker,823.2133,2,0.5
Table2 Marker,13.0744,1.321106,-0.596549

