Configuration3,215.532
Crates,138.683,2
Money,103.0952,2
Routes,54.9832,4
Government,153.3953,2
Park,121.9335,1
Flood,1.3517,1
Religion,158.5692,1
Traffic,73.24979,5
Table1 Marker,215.532,2,0.5
Table2 Marker,63.42342,1.331791,0.754802

Configuration0,98.9848
Crates,49.38602,1
Money,49.06184,3
Routes,28.91122,1
Government,17.37515,3
Park,39.94885,2
Flood,82.9718,2
Religion,0,0
Traffic,56.23628,2
Table1 Marker,314.5168,2,0.5
Table2 Marker,2.736969,0.8277786,0.648653

Configuration1,61.89737
Crates,55.93405,2
Money,54.07065,2
Routes,46.29633,2
Government,0,0
Park,39.09717,1
Flood,41.24728,1
Religion,43.93253,2
Traffic,48.79614,1
Table1 Marker,376.4141,2,0.5
Table2 Marker,32.98587,2.661854,0.248908

Configuration2,45.5361
Crates,35.98618,1
Money,21.65024,1
Routes,27.4245,1
Government,16.82477,2
Park,41.22281,1
Flood,0,0
Religion,38.68481,1
Traffic,39.62247,1
Table1 Marker,8.562805,1.562017,0.4814899
Table2 Marker,421.9502,2,0.5

