Configuration1,179.8018
Crates,158.7462,1
Money,104.4351,1
Routes,120.245,4
Government,125.2845,2
Park,0,0
Flood,147.6827,2
Religion,133.933,2
Traffic,121.3464,2
Table1 Marker,179.8018,2,0.5
Table2 Marker,78.52338,2.317953,-0.09720802

Configuration2,52.12337
Crates,35.9615,1
Money,28.12425,1
Routes,30.96201,1
Government,36.06148,2
Park,0,0
Flood,0,0
Religion,0,0
Traffic,0,0
Table1 Marker,13.63754,1.790285,-0.2712882
Table2 Marker,231.9251,2,0.5

Configuration3,44.89874
Crates,40.48654,1
Money,4.013062,1
Routes,0.7617798,1
Government,37.02391,1
Park,1.364349,1
Flood,1.662628,1
Religion,15.40051,1
Traffic,15.2879,2
Table1 Marker,6.150848,1.756777,-0.2974899
Table2 Marker,276.8239,2,0.5

Configuration0,89.22116
Crates,76.12262,1
Money,71.42297,1
Routes,66.44861,3
Government,49.16025,3
Park,0,0
Flood,42.28479,3
Religion,79.24722,1
Traffic,77.73456,1
Table1 Marker,366.045,2,0.5
Table2 Marker,27.72513,1.76847,-0.2966433

