Configuration1,393.739,,
Crates,320.4383,1,
Money,14.07477,1,
Routes,233.2817,5,
Government,235.3168,2,
Park,140.5437,3,
Flood,32.47501,1,
Religion,71.39157,10,
Traffic,63.48494,4,
Table1 Marker,393.739,2,0.5
Table2 Marker,22.79813,1.858788,-0.2722754
,,,
Configuration2,231.0285,,
Crates,145.0442,1,
Money,13.5029,4,
Routes,88.26093,2,
Government,107.9782,6,
Park,1.737396,1,
Flood,2.4375,1,
Religion,37.20764,2,
Traffic,1.874664,1,
Table1 Marker,7.437561,1.840427,-0.191931
Table2 Marker,624.7675,2,0.5
,,,
Configuration3,192.7992,,
Crates,158.5397,3,
Money,5.036743,2,
Routes,117.1136,2,
Government,130.9286,1,
Park,141.5106,3,
Flood,163.5953,2,
Religion,120.3578,3,
Traffic,74.07349,1,
Table1 Marker,6.654236,1.882092,-0.1259847
Table2 Marker,817.5667,2,0.5
,,,
Configuration0,136.8154,,
Crates,130.7533,1,
Money,117.894,1,
Routes,73.5307,1,
Government,93.63031,2,
Park,0,0,
Flood,0,0,
Religion,2.014832,1,
Traffic,0,0,
Table1 Marker,954.3821,2,0.5
Table2 Marker,6.297852,1.807664,-0.236248
