Configuration2,130.0616
Crates,78.93561,1
Money,64.43623,1
Routes,42.06158,1
Government,0,0
Park,0,0
Flood,53.67292,1
Religion,85.43486,2
Traffic,100.7716,1
Table1 Marker,30.39958,2.244148,0.9140012
Table2 Marker,130.0616,2,0.5

Configuration3,0
Crates,0,0
Money,0,0
Routes,0,0
Government,0,0
Configuration3,0
Crates,0,0
Money,0,0
Routes,0,0
Government,0,0
Configuration3,0
Crates,0,0
Money,0,0
Routes,0,0
Government,0,0
Configuration3,48.21082
Crates,32.07431,1
Money,33.92409,1
Routes,38.74892,1
Government,43.19954,2
Park,30.14987,1
Flood,0,0
Religion,0,0
Traffic,40.81149,1
Table1 Marker,19.38718,1.950774,0.145256
Table2 Marker,178.2724,2,0.5

Configuration0,50.79736
Crates,31.02234,1
Money,27.159,1
Routes,39.82384,2
Government,35.14758,1
Park,0,0
Flood,0,0
Religion,0,0
Traffic,47.59814,1
Table1 Marker,229.0697,2,0.5
Table2 Marker,21.63541,2.133833,0.02648449

Configuration1,36.61243
Crates,21.78629,1
Money,18.63628,1
Routes,32.63609,1
Government,27.19855,1
Park,0,0
Flood,9.374115,2
Religion,0,0
Traffic,30.29929,1
Table1 Marker,265.6822,2,0.5
Table2 Marker,15.13718,2.157166,0.8225744

