Configuration2,231.7483
Crates,143.9338,2
Money,136.8081,2
Routes,188.7191,3
Government,188.1144,6
Park,1.12516,1
Flood,1.287399,1
Religion,211.2948,4
Traffic,122.1691,1
Table1 Marker,25.03709,1.806903,-0.1552241
Table2 Marker,231.7483,2,0.5

Configuration3,76.9333
Crates,58.09657,1
Money,3.412445,2
Routes,69.20895,1
Government,42.63559,1
Park,2.136887,1
Flood,2.91217,1
Religion,72.90866,2
Traffic,64.68419,2
Table1 Marker,17.81204,2.051277,-0.037112
Table2 Marker,308.6816,2,0.5

Configuration0,72.18481
Crates,53.13583,1
Money,1.598602,2
Routes,43.84763,1
Government,61.89722,1
Park,1.312317,2
Flood,0,0
Religion,68.16122,1
Traffic,65.11151,2
Table1 Marker,9.737885,2.043193,-0.05358028
Table2 Marker,380.8664,2,0.5

Configuration1,40.42239
Crates,30.33636,1
Money,15.11124,1
Routes,0.9617615,1
Government,26.87253,1
Park,0,0
Flood,0,0
Religion,37.82254,1
Traffic,0,0
Table1 Marker,421.2888,2,0.5
Table2 Marker,24.01114,1.834854,-0.2071013

