Configuration2,288.5776
Crates,227.9018,3
Money,161.7308,3
Routes,155.5562,2
Government,164.5056,3
Park,189.1913,1
Flood,189.5908,2
Religion,191.5652,2
Traffic,264.3373,3
Table1 Marker,17.80008,1.569676,-0.4742601
Table2 Marker,288.5776,2,0.5

Configuration3,206.8051
Crates,199.2698,2
Money,63.79709,3
Routes,105.8464,3
Government,97.5213,6
Park,83.7215,4
Flood,101.385,4
Religion,73.09763,3
Traffic,87.18658,4
Table1 Marker,40.28702,1.905937,0.4278426
Table2 Marker,495.3827,2,0.5

Configuration0,139.1727
Crates,126.1223,1
Money,36.66577,7
Routes,86.06097,3
Government,84.40924,2
Park,0,0
Flood,131.3733,1
Religion,0,0
Traffic,0,0
Table1 Marker,112.9858,1.81997,-0.08825803
Table2 Marker,122.1109,1.657442,-0.3375878

Configuration1,63.3598
Crates,56.85938,1
Money,0.4747925,1
Routes,12.24866,3
Government,33.18652,1
Park,0.7999878,1
Flood,0.8120728,1
Religion,2.062378,1
Traffic,41.42297,2
Table1 Marker,697.9152,2,0.5
Table2 Marker,21.27368,1.495752,-0.4102712

