Configuration2,202.25
Crates,137.5947,1
Money,105.0591,2
Routes,2.814064,1
Government,3.560036,4
Park,1.513214,1
Flood,69.01111,4
Religion,3.686607,1
Traffic,94.99662,3
Table1 Marker,21.91231,2.250984,0.903682
Table2 Marker,202.25,2,0.5

Configuration3,78.36018
Crates,44.70087,2
Money,31.04861,1
Routes,27.56093,1
Government,28.94836,1
Park,29.9984,1
Flood,32.42415,1
Religion,27.02313,1
Traffic,0,0
Table1 Marker,73.83569,1.801384,-0.2723262
Table2 Marker,280.6102,2,0.5

Configuration0,59.9473
Crates,46.64761,1
Money,24.4733,1
Routes,21.57303,1
Government,50.49799,2
Park,40.67242,1
Flood,43.66818,5
Religion,42.50958,1
Traffic,43.27231,1
Table1 Marker,340.5575,2,0.5
Table2 Marker,18.474,1.332063,-0.6531134

Configuration1,53.76138
Crates,47.67267,1
Money,46.11108,1
Routes,40.26099,1
Government,0.6124878,1
Park,45.72424,2
Flood,42.88596,1
Religion,39.72345,1
Traffic,0,0
Table1 Marker,394.3188,2,0.5
Table2 Marker,24.38699,-0.4263742,-0.3449101

