Configuration1,307.92
Crates,279.8776,2
Money,261.0016,4
Routes,209.3557,6
Government,228.8033,5
Park,267.1154,1
Flood,53.08574,4
Religion,4.723282,4
Traffic,154.7324,14
Table1 Marker,307.92,2,0.5
Table2 Marker,82.77171,2.451372,0.2031732

Configuration2,141.6345
Crates,132.36,2
Money,126.222,5
Routes,119.3602,1
Government,121.3475,1
Park,71.10995,2
Flood,17.55978,2
Religion,103.9716,1
Traffic,105.1215,1
Table1 Marker,47.95029,1.997754,0.05719662
Table2 Marker,449.5545,2,0.5

Configuration3,0
Crates,0,0
Money,0,0
Routes,0,0
Government,0,0
Configuration3,0
Crates,0,0
Money,0,0
Routes,0,0
Government,0,0
Configuration3,0
Crates,0,0
Money,0,0
Routes,0,0
Government,0,0
Configuration3,204.7036
Crates,173.4795,2
Money,116.156,2
Routes,90.93622,7
Government,192.6297,2
Park,187.6161,1
Flood,68.77316,2
Religion,199.2284,1
Traffic,145.6935,6
Table1 Marker,57.34717,1.682485,-0.3504484
Table2 Marker,654.2581,2,0.5

Configuration0,0
Crates,0,0
Money,0,0
Routes,0,0
Government,0,0
Park,0,0
Flood,0,0
Religion,0,0
Traffic,0,0
Table1 Marker,654.2581,2,0.5
Table2 Marker,654.2581,2,0.5

Configuration1,0
Crates,0,0
Money,0,0
Routes,0,0
Government,0,0
Park,0,0
Flood,0,0
Religion,0,0
Traffic,0,0
Table1 Marker,654.2581,2,0.5
Table2 Marker,654.2581,2,0.5

Configuration2,0
Crates,0,0
Money,0,0
Routes,0,0
Government,0,0
Park,0,0
Flood,0,0
Religion,0,0
Traffic,0,0
Table1 Marker,654.2581,2,0.5
Table2 Marker,654.2581,2,0.5

