Configuration3,174.663
Crates,112.2716,1
Money,4.649492,2
Routes,90.30981,1
Government,119.3097,2
Park,1.899559,1
Flood,0,0
Religion,4.899368,1
Traffic,2.449768,1
Table1 Marker,129.8712,1.723457,-0.353606
Table2 Marker,174.663,2,0.5

Configuration0,136.9448
Crates,125.5337,1
Money,112.1573,1
Routes,115.6578,1
Government,129.2456,1
Park,86.1971,2
Flood,1.662125,1
Religion,1.136337,1
Traffic,67.57355,1
Table1 Marker,311.6077,2,0.5
Table2 Marker,12.08649,1.637594,-0.4134221

Configuration1,111.8477
Crates,77.30923,1
Money,101.3957,1
Routes,98.97104,1
Government,103.5334,2
Park,0,0
Flood,4.412109,1
Religion,5.574463,1
Traffic,87.46841,11
Table1 Marker,423.4555,2,0.5
Table2 Marker,26.38602,1.397192,-0.5951104

Configuration2,82.12158
Crates,75.68497,1
Money,70.78577,1
Routes,73.26028,1
Government,77.74799,1
Park,2.237366,1
Flood,0.5774536,1
Religion,2.050476,1
Traffic,3.798645,2
Table1 Marker,8.862305,1.796386,-0.2739191
Table2 Marker,505.5771,2,0.5

